,description
5935,Perfume celebrates 10 years since their major debut single with a night full of new songs and classics.
5936,"When young newlyweds Julia and Rivers find themselves trapped in a quaint, Carolina coastal bed and breakfast with fellow stragglers during a dangerous hurricane, they soon begin to suspect they are being haunted by the legendary ghost of Alice Flagg."
5937,Delinquent is the thrilling and dramatic exploration of a teenager's struggle to manage the fall-out of a robbery gone wrong.
5938,"Based on a true story in 1985. Derek is a dreamer and a loser. No matter how hard he tries he fails at everything he attempts. Determined to show the world he can succeed at something he forms an American Football team in a country dominated by Soccer, Rugby, Cricket and Fish & Chips. His desire to succeed consumes his life and he is blind to see that his success will lead to him losing everything."
5939,"Two people from very different backgrounds fall in love and decide to get married, but not without their parents blessings. Three days before the wedding they introduce each other with their respective parents and all hell breaks lose."
5940,"It's a set of six amusing short films that paint an honest and amusing picture of love. The series traces love in an unconventional way, across all ages and professions."
5941,"Born into a middle-class Jewish family, Henia lost her father, brother and sister during the German occupation. She survived. This extraordinarily moving documentary tells the story of holocaust survivor, Henia Bryer, in her own words."
5942,"Ramachandran, a young man who is preparing for his IAS exam, battles his id, which keeps getting him into problems."
5943,"Samantha and John Grey find themselves at a crossroads in their marriage. Samantha is considered the modern day 'Dear Abby' of talk radio and as a Doctor of Psychology; Samantha is meticulous to detail and advocates communication as the key to all successful marriages. Feeling her biological clock ticking, she's ready to start a family - if only she could convince her husband John."
5944,"Lil Rel Howery describes how he found out that his father wasn't a doctor, the difference between raising a son and a daughter, and racism within the black community."
5945,"Three young people decide to commit suicide and go to a beach house to die, not realizing that a ghost haunts the place…"
5946,"Two weeks before the birth of her first child, New Yorker Shaina Feinberg, recounts her reluctant journey to motherhood in a video letter to her son. Clearly influenced by old Woody Allen films, her letter becomes a series of vignettes that include her newly sober husband, her goofy Upper West Side parents, an adorable Shih Tzu, a neurotic shrink and her own views on daytime television."
5947,"Only few big cats have been as intensively studied as lions. We thought we knew everything about them. Yet some parts of their lives kept hidden in the dark. Cameras follow two prides and their respective females by day and by night, revealing astonishing behavioral patterns of Africa's largest lions. Symbols of courage and power, lions have been intensively researched for many decades. While hardly a single facet of their lives has gone unnoticed, certain things have remained hidden. Thanks to thermal imaging cameras, this two-part series reveals the last secrets of Africa's largest wild cats. We follow two prides in Southern Kenya and their respective females by day and by night, discovering astonishing behavioral patterns. Lean times face the animals as the huge wildebeest herds, which, until now have supplied the young families with ample food, are migrating south to the Serengeti. We will watch the daily struggle for survival as these mothers risk everything in order to rear their young. Protecting their youngsters from threats such as pythons, African buffalo, and elephants. However, it is the other lions that are the greatest threat. We will observe as the fate of the young lions is decided during the next few weeks and when a group of young male lions arrives with ambitions of wresting the territory from its current rulers, the situation escalates in this dramatic family saga."
5948,Seniors unexpectedly fall for each other over a shared love of music.
5949,"A self-centered hypochondriac returns to his quaint hometown to visit his five childhood doctors in a single day, avoiding everyone from his past except his hapless former best friend whom he ropes into driving him around."
5950,"Brooke and Roger, two graphic designers in a soon-to-be-merged company, help one another by agreeing to a loveless marriage of convenience, suggested by their new boss. In the process, Brooke gets to upstage the sister who just announced her engagement to Brooke's ex-boyfriend during the holidays. But, with their “marriage” in question, will Brooke and Roger find a spark they didn’t know existed?"
5951,"Mike Okafor is invited by his childhood friend and buddy, Adetunde George Jnr, to have DINNER and spend the weekend with him and his fiancée Lola Coker as they plan for their upcoming wedding. Mikey decides to come along with his girlfriend Diane Bassey, as he plans to propose to her. Things get out of hand when they arrive at Adetunde's house and they get to find out secrets about each other's relationship and the one person in the middle of it all."
5952,"When Spencer Koll, a United States Marine, returns home from a horrific wartime experience, his mundane reality leads him to gravitate towards a new and mysterious woman on her own determined journey. Together, they enter into a magical but destructive new relationship which ultimately exposes their essential truths."
5953,"2Eleven is the tale of two brothers hustling to survive in the streets of Detroit. Zo, the calm, ambitious brother, wants nothing more than to give his daughter, Natty, a better life while Murda, the flashy, hot tempered brother, loves the fast life and even faster money. Two very different brothers with the same occupation, committing robberies. Zo, Murda, and their accomplice Rell start off as small time thieves until Zo links up with a season veteran who gives them the opportunity to catch bigger fish and make more money. Once these ""jack boys"" begin to see a shift in income, the differences between Zo and Murda become more apparent. Tempers flare, blood is shed, and lines are crossed. The more money that is made, the more loyalty is tested. This urban drama is sure to leave you thinking."
5954,"A young woman attempts to reclaim the unicorn paddleboat she associates with her happier, more privileged former life."
5955,"The Little Cats join The Cat in the Hat, Fish, Nick and Sally on a fun and frenzied outdoor adventure as they camp, hike and paddle their way to Fish's family reunion."
5956,"Documentary about the life of Christian comedian Chonda Pierce, the RIAA's number one selling female comedian of all time."
5957,A young couple awakens a terrible force when they attempt to socialize their reclusive neighbor.
5958,"The film follows Xu Lai, a former artist whose dreams were dashed when the responsibilities of life set in. With his life now revolving around his wife Cai Bo who is obsessed with having children, the quirks of his eccentric family and his mediocre, ordinary existence, Xu Lai hopes to reconnect with his first love Yang YIi on an upcoming vacation. However, his hopes are dashed when he finds himself wrapped up in a murder investigation that proves truth is often stranger than fiction."
5959,Gabriel Iglesias presents a hilarious stand-up comedy special from the brash and beautiful Gina Brillon. Find out why she’s one of the country’s hottest young comics in this uproarious special full of sharp jokes and her trademark Bronx attitude!
5960,A confused groom and his friend get booked by a cop while they are on the way back from a bachelor party.
5961,"EKAJ is a love story between two drifters, a naive teenager and a hustler. Ekaj meets Mecca who takes him under  his care. Mecca has AIDS and multiple problems of his own. He is high all day but still manages to be the only voice  of reason in Ekaj’s hopeless world. They cruise the city together looking for money and places to stay. Although Ekaj  makes some money as a prostitute, he finds himself discarded, and lacking what it takes to survive in the city.  Their mutual loneliness leads to genuine friendship."
5962,Katie Cook hosts as investigators uncover unexplained events through extraordinary first-person accounts and take viewers to a place beyond our realm. Truth may be stranger than fiction. Paranormal Matrix may be stranger than both.
5963,A visual effects artist gets possessed by an evil spirit and tries to get rid of it until he meets another innocent soul possessed by spirits.
5964,"A modern day urban tale centered around a young man named Tru, who recently came home from jail and is fighting to stay on the right path for the sake of his son. Not too long after his release, Tru finds himself struggling to be an average man while he battles with his son's mother, the law, and the streets."
5965,"Exclamation Mark Question Point is the debut special from Andy Peters. More bootleg than traditional special, Andy recorded only one show, one night at The Virgil in Los Angeles. The special features a bouncy mix of Andy's dive-in-head-first approach to comedy. With The Virgil's intimate space as a backdrop, Andy litters the show with playful self-deprecating bits, a healthy dose of ""screaming at strangers"" and a nonstop stream of riffs."
5966,"Everyone knows someone with a special laugh--and Gigglebug's is one of the greatest ever. It's his gift, his innate ability and the key to transforming attitudes, which ultimately shakes loose every gummed-up situation he runs across. The stories are set in the oh-so enchanted Greengown Forest, where Gigglebug meets his young animal friends, all dealing with growing up. Our curricular approach is to show how humour can get you un-stuck and a positive attitude helps you do anything better. The series is heartfelt, warm, and safe...and best of all, a bunch of giggles."
5967,"Mr. Wu, a Hong Kong movie star, is kidnapped in Beijing by Zhang Hua's gang. The police quickly form a task force and begin the search, ignoring that detectives in charge have only twenty hours before the deadline. (A story based on the famous kidnapping case of television actor Wu Rufou that took place in 2004.)"
5968,"A classic tale of love and survival in the brutal world of bare knuckle fighting. Powerfully told and acted by a wonderful ensemble of actors. Jazz and Gia each struggle to survive in their ""other-side-of-the-tracks worlds. He desperately looks for a way out of the dark past that haunts him and the violence he faces daily as a bare knuckle fighter. Gia leads a bitter and lonely life trying to main"
5969,"Jade, 20 years old, hangs with a vampy schadenfreude and is met with startling intimacy and a tragic discovery in which she’ll have to do the only thing she’s been afraid of: grow up."
5970,"A thirteen-year-old boy is forced to live with his estranged brother after their father is sent to prison. Their relationship is soon tested when the older brother's occupation as a marijuana dealer infringes on his ability not only to raise his kid brother, but even to take care of himself. However, through constant tribulations, they discover the only way to get through the difficulties of life is to work together and try to beat the odds."
5971,The influx of the most human-like droids into a pocket in New York City brings out the monster in many of their creators and the poetry and beauty in their often undetected creations.
5972,"Shivalinga is story weaved around a murder mystery. Who killed Rahim? Why was he killed? Is it murder of Suicide, CID Shivu (Shivrajkumar) investigates the murder mystery. But, what is Shivu's wife's involvement..."
5973,"Bouncing with nail-biting suspense and ingenious humor, young Chinese filmmaker Li Yuhe's feature debut portrays a puzzling crime happened in a rural small town, where greed, lust and wit battle it out in one night. It all starts from a sexually impotent motel owner hiring a pro to murder his cheating wife. Everything goes exactly as planned, until two blind daters, a robber, a policeman and a strange dead body unexpectedly arrive."
5974,"Rimba Racer is an action-packed animation series revolving around Tag, a talented rookie racer and newcomer to the prestigious RIMBA Grand Prix, a racing competition full of tough rivals, dangerous challenges and hidden agendas."
5975,Coming Soon
5976,"For her bachelorette party, purveyor of fine jokes, Cameron Esposito, decided to go a different route - making people pay to see her stand up and tell jokes for her first special. Now she's got your attention and she's got some harsh truths for you, discussing topics such as marriage equality and gun control to the secrets of a women's locker room. You'll love her! After all, she's Marriage Material."
5977,"A series of horrifying murders, the victims, always couples, staged in bizarre collage dioramas with cardboard cutouts and scribbled, childlike messages about the corrupting power of love. The killer's on the loose, and the FBI is looking for a truck driver. Emery Reed is a long haul trucker disillusioned with the American Dream after an accident left his wife paralyzed and took the life of their son. Newlyweds Jeff and Krissy are having the time of their lives until their car breaks down on a rural road in the middle of nowhere. When the love birds collide with the forlorn truck driver, a wild ride leaves everyone questioning the true value of love and American Romance."
5978,"Good Friday: in Mariotto, a small town in the Puglia region, everything is ready for the re-enactment of the Stations of the Cross, until Michael, the blond hairstylist scheduled to play Jesus, sits on the crown of thorns. It is the beginning of a turbulent journey. In the chaos that ensues, Ameluk is volunteered by the local priest to step in and play the part of Christ. The conflict? He is Muslim. The news spreads around the world, and public opinion - just like in Mariotto - splits into two sides. In a mixture of dramatic moments and comic situations, it will become Ameluk's job to glue the sides back together."
5979,"When she’s deported to México, Claudia must choose between reconciling with her estranged father or partnering with a dangerous smuggler to return to the U.S."
5980,"Buddy Solitaire is a struggling comedian on the late night circuit. The only job he can get is teaching comedy to the mentally ill. Buddy discovers, however, that by helping these patients, he can get closer and closer to healing himself."
5981,"Angel Adams is independent, beautiful and successful and has everything a woman wants, except a man. Separated by a twist of fate over 10 years ago, Angel and her high school crush now been given a second chance. Angel let s her guard down, and opens her heart to Broderick, but their romance comes to a skidding halt, as they are forced to face one of the most critical, yet TABOO issues facing our world today."
5982,"Savitri is a girl who is fascinated with wedding ceremonies. When she gets engaged, she travels to Shirdi and in the train she meets a doctor Rishi, who falls in love with her. Meanwhile, his parents arrange a marriage for him but he rejects the girl without meeting her. The twist is that the alliance is with none other than Savitri. What happens next forms the rest of the story."
5983,"Humberto works as a night watchman at a remote and desolate construction site. One night he becomes, unwittingly, the sole witness to a cover up. Afraid of being retaliated against lest he come forth, he decides to keep quiet. Gradually and without him being aware of it, Humberto ends up inflicting on his family the same violence from which he´s running away."
5984,"Enjoy a collection of songs about animals beloved by children, including our hit songs ""Baby Shark"" and ""Did You See My Tail?"" Meet Pinkfong's fun, educational videos that captured the hearts of millions of children around the world. Enjoy hundreds of kids' favorite songs and stories created by educational experts."
5985,Ammani is about a 82-year-old woman and her emotional bond with another woman named Salamma.
5986,"Mark is having that dream moment when Ashley, the most popular girl in his class, asks HIM to drive her to an exclusive pool party. Mark's excitement comes to a quick halt when he comes down from cloud nine and remembers one minor detail - he doesn't have his driver's license! He's tried five times and five times has failed. He needs to make this happen! And Glenn Bufferton, known for easy testing, is just the DMV instructor to give Mark his driving street cred. Or. so he thinks! On the verge of road warrior victory, Mark's plans are thrown off course when Glenn learns that his wife is leaving him. A woeful DMV instructor makes for a negative test outcome. So with his license on the line, Mark agrees to help Glenn rescue his marriage. With his vertically-challenged best friend Russell in tow, the trio hit the road on a cross-town adventure that may make survival the biggest test of all!"
5987,Two young artists use love as a safety net against the fear and pain in their lives in order to propel them deeper into their art.
5988,"Ambitious psych major Molly White is on top of the world as she preps for her grad program entry exams. After celebrating with boyfriend Brady, Molly finds her roommate Emma crying after an incident she had with her boyfriend Adam. The next morning, Molly is shocked to learn that Emma jumped from the roof late that night, leaving a suicide note behind. Refusing to believe that Emma would do such a thing, Molly starts having haunting dreams over Emma’s death. Driven to uncover the truth about what happened to Emma, Molly begins to search for answers positioning herself in harm’s way."
5989,"Ian Harvie is not quite the kind of man you might think. He's redefining what it means to be a dude through a fresh perspective on sex/sexuality with some seriously funny and new kinds of dick jokes. Proving that laughter cuts across all identities and ultimately unites us all. Oh and, Ian is the world's first trans man comedian with a stand up comedy special."
5990,"After a devastating terrorist attack annihilates New York, Chicago and Los Angeles, the US government develops state-of-the-art drone patrols to counter terrorist activities and police the population. When Patterson Endcott, a scientist and drone controller, finds his name listed as a potential terrorist, he unites with a group of resistance fighters to spearhead the fight against the tyrannical government."
5991,"In Peru, Sergio García Locatelli visits both those places where human life is fragile and personal fate is uncertain and those where death reigns, places where everything is already lost, where appeal is not possible. A walk in search of the meaning of death that is actually a celebration of life and the living."
5992,Tells the paralleling lives of an upscale Argentinian prostitute and a war traumatized Marine whose worlds collide in the underground network of sex trafficking.
5993,"Pugazh, a young man, fights against a corrupt politician who wants to acquire the playground of his area, which he and his friends use for sports activities."
5994,"This Battlezone series features Blitzkrieg - the Nazi's Conquest and Occupation of France, and the Struggle to Liberate it."
5995,"Institute of Ten-fold Mastery(Dash Mahabidyalay). It is an unbelievable college at Taskar Nagar. The syllabus includes Bank rubbery honours, pick pocket honours, snatching honours, filching honours, fake currency printing honours etc. The toppers of the present batch are Kartik (Shaswata Chattopadhya) and Ganesh (Biswanath Bose ) under the auspices of Principal, Dharmadas Maharaj (Kharaj Mukherjee). Dharmadas's devotion to make successful thieves from this institute is unquestionable. The duo Kartik and Ganesh have enrolled themselves to learn the greatest degree of all thefts..""heart-stealth"". Thus they landed at the institute and became colleagues with Safai Lal, who is extremely aspirant and focussed to become future minister and thus joined to learn some tricks of the trade."
5996,"Three cousins, Arjun, Divya and Kannan, relocate to Bangalore for various reasons. However, they face many challenges which change their lives forever."
5997,"Old Tucker Herman is told that he'll not be the one to light the tree at this year's tree lighting ceremony. Instead he must 'pass the torch' to either his son or son-in-law. Tucker hatches a dark scheme that pits two families against each other, the victor inheriting his substantial fortune. Comical shenanigans ensue as both families find themselves embroiled and entwined in each other's lives and ultimately deaths. As ghosts they must see the error of their ways and learn to get along, before the end of the tree lighting ceremony, or else be forced to do it all again. This dark Shakespearean comedy will tickle your other funny bone."
5998,A doting father gives his nod to his daughter’s conditions for marriage and the confusions and struggle which the family faces following that…
5999,Romeo is an unruly youth in his local village. He goes to London after seeing his dream girl on Facebook to win her heart.
6000,"The story of Michael and Richard Henderson, two stepbrothers from West Virginia who saw an opportunity in the burgeoning VHS market in the 1980s and made their own backyard horror movies, ""The Curse of Stabberman"" and ""Cannibal Swim Club."" These films would've been long forgotten, but a recent resurgence in horror fans collecting rare VHS tapes has put the Henderson Brothers back in the spotlight. Thanks to their biggest fan, they're sitting down for their first on-camera interview and looking back on their movies - but they might not be as good as they remembered!"
6001,"A man witnesses a terrible tragedy that happens in the life of a girl child. When he becomes a father, he becomes very protective of his daughter."
6002,"Three man act Plastic Cup Boyz, Joey Wells, Will ""Spank"" Horton and Na'im Lynn, taped their debut special at The House of Blues in San Diego. In front of a live audience, the trio covers topics including reality television, women's eyebrows, and looking like a cat clock."
6003,"My Greek Table is a cooking program that takes place in Greece. The hostess is Diane Kochilas, an American Greek chef in Greece."
6004,"A brother attempts to get his younger brother married to the girl he loves by kidnapping her, but the plan goes so wrong and results in messy situations..."
6005,Jermaine Former performs live from the DC Improv. Features interviews with family and friends.
6006,"Uber geeks Nigel and Oscar want nothing more than to capture definitive evidence of a Sasquatch. When their guide bails on them, they must resort to using a mis-matched group of outdoor enthusiasts. Meanwhile, their rival Claus, also on the hunt for the ""Squatch"", races to beat them to the prize in this documentary style comedy."
6007,"Just as a high-profile editor learns that her husband is cheating, her hot new assistant shows an interest in her. But his carefully planned seduction turns her world into a nightmare."
6008,Dwayne Perkins' standup special.
6009,"Inquisitive Annie and her animal pals present this collection of colorfully animated nursery rhymes and pre-K concepts set to toe-tapping tunes. HooplaKidz presents popular nursery rhymes which will help children learn and have fun at the same time. These are specially handpicked classic nursery rhymes and children songs by HooplaKidz creator, designed to make your child happy."
6010,"Gays in Prison is a documentary that puts Latrice Royale, popular star of RuPaul's Drag Race, front and center, as host, narrator and interviewer as she reveals her own experiences in jail and explores the stories of gay men in and out of prison. The film develops themes of redemption, lessons learned and, yes, even humor and love. The documentary also reveals gay prison pen pals and those on the outside finding love behind bars."
6011,"Two inept police officers, who have spent their entire lives wanting to appear on the law enforcement reality show ""Five-O"", get more than they bargained for when an evil drug lord becomes falsely convinced that they are America's most badass cops."
6012,"In his first hourlong comedy special, Brian Gaar tackles everything from the challenges of fatherhood, trying to keep his gamer cred in his 30s, and life in a certain small Texas town.  Brian has more than 80,000 followers on Twitter, and celebrity fans include: Patton Oswalt, Will Arnett, Seth Meyers, Jim Gaffigan, Andy Richter, Rob Delaney, Margaret Cho, Minnie Driver, Amy Schumer, Zachary Levi, Billy Eichner, Samantha Bee, Ike Barinholtz, Ryan Phillippe and Juliette Lewis.  Former “Saturday Night Live” head writer and current producer/head writer of “Late Night with Seth Meyers” Alex Baze called Brian one of his favorite Twitter joke writers. Likewise, Playboy recently named him one of the funniest people on Twitter.  ""Jokes I Wrote at Work"" was filmed live at the Spider House Ballroom in Austin, Texas."
6013,"El Cholo, a Peruvian taxi driver, flees from justice in his country and comes to Venezuela in search for a better future. After running into a gang of con-men who leave him penniless, he meets a peculiar group of Latin Americans who work for a gangster known as The Russian as hitmen. El Cholo is quickly trapped in a world of blood and ambition that makes him realize the true cost of life and death."
6014,"Marijuana as a cancer fighting drug? Science says yes, federal law says no. Patricia Crone is caught in the life-and-death stand-off. Patricia Crone, a professor of Islamic history at the Institute for Advanced Study in Princeton, was diagnosed with lung cancer in November 2011, when the cancer had already spread to her brain. She was busy preparing for the end when she saw that the National Cancer Institute described some of the chemicals in marijuana, or cannabis, as having cancer-fighting potential. With only grim prospects for the future, she wanted to try it.
 So Patricia, who had never had as much as a puff of pot, started a hunt for marijuana, and for credible evidence of its medicinal potential."
6015,"When a clique of teen girls, led by ""scene queen"" Ashley, begins bullying local girls to get attention on the internet, it's up to Jess, the girl who's videotaping their fights, to stand up to Ashley's bullying - or become a victim herself."
6016,A young man becomes a target when he accidentally discovers who is behind a string of murders.
6017,"A group of insurance employees go to a sales convention at a beach resort in Punta Cana, where they get involved in various situations."
6018,"""Wonder Boy for President"" tells a story of a charismatic young man from the Eastern Cape who is coerced into running for president by two corrupt characters. It is a political satire that delves into political dynamics and challenges that arise."
6019,A woman becomes the target of an obsessed killer after she helps the police bring down her dangerous drug dealer boyfriend.
6020,A Canadian-born girl falls in love with a lower-class boy on a trip to India.
6021,"Sam and Ned Porter are little thugs, riding together and robbing banks. One night, Sam gets captured by mysterious bounty hunters who offer to keep him alive only if he turns his brother in. Redemption will come at a high price."
6022,"Daniel and Cynthia, a young couple with a child on the way, experience some hard times in Manila. They head back to Baguio, where Daniel is originally from, to start over again. Through the kindness of Alex, Daniel's well-to-do childhood friend, they get to stay in a large house, rent-free; and he gets a job offer as well. Everything seems to be falling into place for them - or so they think - until strange things start to happen in their house."
6023,"5 People, 4 Lifestyles, 3 Murders, 2 Hours, 1 Revenge. The story takes around five persons who are interconnected through life situations, plotted in a house."
6024,"When 7-year-old Jocelyn Shaker is mysteriously abducted from a resort in the Colombian rainforest, her rich Columbian stepfather and American mother are accused of being involved."
6025,Comedian Dov Davidoff delivers a stand-up performance at the Vic Theatre in Chicago. A dissection of misleading truths in today's culture is included.
6026,"Ng Kau Sau was once Queen in badminton, she gave up herself after being expelled from the sport. One day she met a brunch of terrible weirdoes: the Drunken Master who was lying on the ground, one-armed Lam Chiu, visually-impaired Ma Kun, and the scar-faced boss Lau Dan who suffered from loss of hearing. They were the most notorious robbers 10 years ago, but they decided to be good men after they got out from jail and formed the ""Lau Dan Badminton Club"". Sau was impressed by them and decided to join Dan and practice seriously and go to the competition together."
6027,"Dynamite is a Telugu action thriller film directed by Master Vijayan, Manchu Vishnu and also guest directed by Deva Katta for 9 days of the shoot, the film is produced by Manchu Vishnu under the banner 24 Frames Factory featuring himself, Pranitha Subhash, J. D. Chakravarthy in pivotal roles. It is the official Tamil remake of Arima Nambi. Stunts and actions co-ordinated by Vijayan who also directed the film along with Vishnu Manchu after Deva Katta walked out of the project due to creative differences."
6028,"A wannabe professional thief has an epic fail when he's caught stealing a package and forced to take a young woman as hostage back to his gay friend's house where, despite pressure from his deranged, yoga-loving boss, he can't dispense with her and instead the three face a bunch of quirky thugs sent by the boss who will do anything to get his hands on the mysterious package."
6029,"Desert Sky Air Force Base is instructed to carry out an urgent mission. Petey, a new fighter plane, arrives by forced landing. Petey is determined to carry out the most important task by himself and rescue his best friend."
6030,"Filmmaker and omnivore John Papola, together with his vegetarian wife Lisa, offer up a timely and refreshingly unbiased look at how farm animals are raised for our consumption. With unprecedented access to large-scale conventional farms, Papola asks the tough questions behind every hamburger, glass of milk and baby-back rib. What he discovers are not heartless industrialists, but America's farmers - real people who, along with him, are grappling with the moral dimensions of farming animals for food."
6031,"Still reeling from a traumatic childhood experience with an alcoholic mother and her deranged carnie boyfriend, a mild mannered milquetoast finds himself at the mercy of a monstrous alter ego: a sadistic killer clown with a tickling fetish."
6032,"Robinson finds the funny in everything from politics, music and pop culture to growing up in South Philly."
6033,"Mo Mandel takes the stage in his first hour-long special at the Gothic Theater in Denver. He loves Julio Iglesias, hates positive people, and aims his frenetic laser at everything from the sins of his parents, to the perils of sex, to the dark nature of his own disastrous mind."
6034,"Zoe Walker is a food scientist who's been sent to Colombia to design a coffee flavor that appeals to millennials. In the village of Salento, Zoe meets Diego Valdez, a local plantation owner who is reluctant to work with her at first, but allows Zoe to use his coffee beans so long as she helps him with the final harvest. As Zoe spends time working the land with Diego, romance begins to brew despite their very different roots."
6035,Sakthi is in love with Anjali but marries city girl Divya because his father has given his word to her dad. But Divya is least interested in making the marriage work and wants a divorce...
6036,"The majority of premature deaths can be prevented through simple changes in diet and lifestyle. In How Not to Die, Dr. Michael Greger examines the fifteen top causes of death in America-heart disease, various cancers, diabetes, high blood pressure, and more. He explains how nutrition and lifestyle can sometimes trump prescription pills and other approaches, freeing us to live healthier lives."
6037,"After returning from school and marrying, a popular farmer becomes a target of jealousy."
6038,"A short film about revenge and gangs in the streets of Manchester, England."
6039,"It's the story of the effects of the Civil War on a southern family, a story of scandal, first love and lost dreams that turned a southern boy into a western legend. Join us as we go in search of the real ""Doc"" Holliday."
6040,"The search for Sana’s comrades continues. Sara who opens up her heart to Sinbad reveals her horrible story of how her father’s apprentice Galip destroyed the peaceful kingdom and her family by using the wizardly power. Suddenly the Magic Lamp shows the passage “to the Wonder Gate to the land of ancestors that appears in the Night at High Noon,” but Galip’s solders block their path."
6041,"Bryan's long-awaited stand-up special. Bryan Callen discusses his dreams as a boy, his unique upbringing and what he wishes to pass on to his children."
6042,"A rebellious teenager, a hardcore gang member, and an idealistic cop risk everything to find their place in the crumbling fabric of modern America.  While idealistic rookie cop David is able to keep his family safe until use-of-force incidents put him under pressure to make a fateful decision, hardcore gang member Lito steps into dangerous territory when he defies gang matriarch Tia in his hustle for wealth and power. At the same time, rebellious teenager Rio flirts with gang life until he has to deal with his own guilt over a tragic death."
6043,"Renowned pianist Philippe Kessler is preparing for an important recital. But recently, sounds and images seem deformed around him, as if one reality was superimposed on another. Worrying that he is going mad, he gradually withdraws into himself. The evening of the recital, he collapses at his piano..."
6044,"The story takes place in the summer of 1995 outside of Gothenburg, Sweden, during the rise of Neo-Nazi violence that was sweeping across the country. The film ""John Hron"" is the true story about a teenager, his friends and family. John is caught up in defense of a student being bullied in school. As the conflict with the bully escalates it soon causes strain between John and his friends."
6045,"After the death of their mother, three foster sisters - the shrewd business woman, the free spirit, and the caregiver - find themselves fighting for their individual dreams and fighting each other in this tale of love, lust, and tragedy."
6046,"Shaped in a travelogue, Turkish Way tells the journey and experiences of the three Roca brothers in their trip across Turkey. It describes their process of learning about one of the most unknown, powerful, and ancient cuisines of the world."
6047,A comedy directed by Alexander Peter Lercher.
6048,"When a family of travellers move to a rural town, conflict ensues amongst the locals. Stigmatised as 'gypsies', they are not welcomed into the community."
6049,"A pickpocket, his girlfriend and a cop become the targets of an education racket. ​"
6050,"Grammy Award winner, Kirk Whalum, musically explores the convergence of jazz and gospel infused with rhythm and blues, through live-recorded performances and integrated commentary with musical messages of tribute, tragedy and triumph in response to present-day socio-economic issues-illustrating God's radical hospitality."
6051,An unlikely friendship if forged when a small-time drug dealer and a neglected nine-year-old girl are forced to go on the run together.
6052,"Jugni (Firefly) is the beat of the soul, the free-flying spirit. Jugni is Vibhavari (Vibs). Vibs is a music director, working on her first big break in the Hindi film industry. When work and home affairs, with her live-in boyfriend Sid hit a high tide, Vibs hits the road with a glint of hope; to find music. The journey takes her to a village in Punjab in the search of a Bibi Saroop, whose voice holds the promise that Vibs is searching for. But as the twist of fate would have it, Mastana, Bibi's son and a proficient singer himself, is the voice and man who winds his way into Vibs' heart. From here on, Jugni is about striking balances, making tough decisions while trying to soften the blows and dealing with the studied dramatic turns and unpredictabilities of life and finding the place which one can call home; home of the heart, where the firefly is at her brightest."
6053,A love triangle is unraveled when a young painter is approached by an admirer who eases him into making sense of his relationship with his wife.
6054,"Can a local natural disaster impact the global weather, and influence the course of history?  A 6th century volcano may have done just that."
6055,"This is the story of the night Matt and Dave met Amy and Syd. All feeling a bit fed up with their jobs and Los Angeles, luck would have it that they decide to go to the same bar on the same night. Thankful to meet anyone who isn't painfully self absorbed, the drinks pile up as the four twenty-somethings find unexpected friendships, and maybe something more"
6056,"Eh Janam Tumhare Lekhe ~ This life is dedicated to ""YOU THE ALMIGHTY"" (God). This film is a journey of one man ""BHAGAT PURAN SINGH"" who treaded a difficult and exhausting path. The journey was made possible by his infinite faith in his mission: the moral values he received from his mother: and courage, vision and determination he received from Guru Granth Sahib. With compassion in his heart he found energy that can move mountains and create miracles. The film is an important chapter in the history of post - partition Punjab."
6057,"Herp, unknownly get tasked to bring drugs in a vehicle. He assigns a team to act as a family. This was done to capture the don and other rowdies."
6058,Badly planned trek across Dartmoor landscape brings four friends face to face with the Dartmoor Beast. Lost and afraid the terrified party has to fight for their own lives in desperate attempt to survive the night.
6059,"When Brooklynite Hillary gets dumped, she discovers that karma and fate have a sense of humor."
6060,"A Children's  film based on the science and technology, Motivated by Dr. APJ Abdul kalam ideology. A kid who has the potential to scale to great heights in the backdrop of Science and Technology"
6061,"Charming, charismatic and brutally honest, Erik Rivera is the hilarious best friend we all wish we had. I'M NO EXPERT brings his talents center stage as he riffs on relationships, fatherhood and his eccentric extended family. Since bursting onto the NYC comedy scene, Erik Rivera's name has become synonymous with comedy. Having appeared on The Tonight Show with Jay Leno, he was recently chosen as one of the Top 100 comedians to be invited to perform in the re-launch of NBC's Last Comic Standing. His boy-next-door good looks and unique perspective make him one of today's fastest rising young comedians."
6062,"A TALE OF LOVE LUST!!! AJAY and NINA ARORA are happily living in the US. Their quiet and peaceful life gets turned up side-down when the rich and flamboyant, SHEKHAR ANAND, buys a million-dollar estate across the street. Ajay cannot resist the temptation for Shekhar's beautiful and sensuous wife SAMANTHA. At the same time Nina is impressed by Shekhar's drive and zest for life, and his materialistic attitude. The fast paced action moves from the glittering star-studded hills of Hollywood and Beverly Hills to the dazzling lights of Las Vegas, leaving behind a trail of murder and mayhem."
6063,"The movie is named after Karunas' famous character in his debut movie Nandha starring Suriya and Laila. Lodukku Pandi character in Nandha made him popular overnight. Karunas has previously done lead roles in films such as Dindugal Sarathy, Ambasamudram Ambani etc. The film is produced by G Pictures."
6064,Story about a IT professional settled in US and married to an Indian girl. After marriage both living a happily ever after life but things changed when his ex-fiancé ruined his marriage life.
